,Product Name,Price,Processor,Brand,RAM,Rating,Storage,Windows,Color,Discount,Screen Size
90,"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (24GB RAM/1TB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg)",90990.0,i7,LENOVO,24GB,4.1,1TB,Windows 11,Grey,27.0,15.3
91,"DELL PRO 15 (2025) AMD Ryzen 5 7520U Quad Core - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/Windows 11 Pro) Thin and Light Business Laptop/Backlit/15.6"" FHD Display/Black/1.5 kg/MSO 2021",37990.0,Ryzen 5,DELL,8GB,5.0,512GB,Windows 11,Black,19.0,15.6
92,Lenovo IdeaPad Slim 5,92990.0,,LENOVO,24GB,3.7,1TB,Windows 11,Grey,26.0,14.0
93,ASUS Vivobook 15,63990.0,i7,ASUS,16GB,4.0,512GB,Windows 11,Blue,26.0,15.6
94,HP Omnibook 5 OLED,69990.0,,HP,16GB,4.1,1TB,Windows 11,Silver,19.0,16.0
95,ASUS TUF F16,199990.0,i7,ASUS,,4.4,8GB,Windows 11,Gray,7.0,16.0
96,HP Victus,119490.0,i7,HP,24GB,4.2,1TB,Windows 11,Silver,12.0,15.6
97,ASUS TUF A16 (2025),89990.0,Ryzen 7,ASUS,16GB,4.1,1TB,Windows 11,Gray,22.0,16.0
98,HP 15,56990.0,Ryzen 7,HP,16GB,4.0,512GB,Windows 11,Silver,22.0,15.6
99,"Lenovo V15 12th Gen Intel Core i5-1235U 15.6"" FHD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg)",47999.0,i5,LENOVO,8GB,4.1,512GB,Windows 11,Grey,46.0,15.6
100,"Lenovo Yoga Slim 7 (Smartchoice) Intel Core Ultra 9 185H 14""(35.5cm) WUXGA-OLED Laptop (32GB RAM/1TB SSD/AI PC/Windows 11/Microsoft 365 Basic + Office Home 2024/1Yr ADP Free/Grey/1.39Kg)",109990.0,,LENOVO,32GB,4.1,1TB,Windows 11,Grey,30.0,14.0
101,ASUS Gaming V16,109990.0,,ASUS,16GB,4.1,512GB,Windows 11,Black,27.0,16.0
102,acer Nitro Lite 16,64400.0,i5,ACER,,4.2,6GB,Windows 11,White,24.0,16.0
103,ASUS Vivobook 14 (2025),36990.0,i3,ASUS,8GB,5.0,512GB,Windows 11,Silver,27.0,14.0
104,Lenovo LOQ 2024,89990.0,i5,LENOVO,16GB,4.1,512GB,Windows 11,Grey,22.0,15.6
105,HP Omen,177990.0,,HP,32GB,4.5,1TB,Windows 11,Black,12.0,16.0
106,ASUS Gaming V16 (2025) 14th Gen,92990.0,,ASUS,16GB,4.2,512GB,Windows 11,Black,18.0,
107,Dell 15,44326.0,,DELL,16GB,3.9,512GB,Windows 11,Black,16.0,15.6
108,Primebook 2 Max 2025 (New Launch),22990.0,,PRIMEBOOK,8GB,4.3,8GB,,Gray,34.0,
109,Primebook 2 Pro 2025 (New Launch),19990.0,,PRIMEBOOK,8GB,4.4,8GB,,Gray,33.0,
110,HP OmniBook 5 OLED (Previously Pavilion),66990.0,,HP,16GB,4.1,512GB,Windows 11,Silver,20.0,14.0
111,"Lenovo V14 Intel Core i3 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/Iron Grey/1.43 kg)",45490.0,i3,LENOVO,8GB,3.8,512GB,Windows 11,Grey,33.0,14.0
112,Dell 15,44326.0,,DELL,16GB,3.9,512GB,Windows 11,Black,16.0,15.6
113,acer Aspire Lite,58990.0,i7,ACER,16GB,4.0,512GB,Windows 11,Silver,20.0,15.6
114,ASUS Vivobook S14,80990.0,,ASUS,16GB,4.5,512GB,Windows 11,Silver,27.0,14.0
115,HP Smartchoice Victus,92990.0,i7,HP,16GB,4.0,512GB,Windows 11,Silver,8.0,15.6
116,ASUS Vivobook 15,40940.0,i3,ASUS,16GB,4.2,512GB,Windows 11,Silver,26.0,15.6
117,acer Nitro V 15,76990.0,Ryzen 7,ACER,16GB,3.7,512GB,Windows 11,Black,29.0,15.6
118,HP OmniBook 7 OLED,118990.0,,HP,32GB,3.7,1TB,Windows 11,Silver,7.0,14.0
119,HP 15 (2025),37200.0,Ryzen 3,HP,8GB,,512GB,Windows 11,Silver,19.0,15.6
120,HP 15,56990.0,Ryzen 7,HP,16GB,4.0,512GB,Windows 11,Silver,22.0,15.6
